name,1st_srv_won,2nd_srv_won.1,srv_rtg.1,rtn_pct_won.1,rtn_rtg.1,gms_pct_won.1,tie_brk_won.1,set_pct_won.1,mtch_pct_won.1
Ivo Karlovic,0.8458,0.5695,406.1,0.2895,104,0.5275,0.4211,0.5714,0.6032
Novak Djokovic,0.7443,0.6023,363.9,0.43,169.2,0.6233,0.6538,0.8405,0.9318
John Isner,0.7924,0.5761,395.4,0.2931,107.5,0.5213,0.5882,0.6145,0.6429
Roger Federer,0.8008,0.573,370.7,0.3975,151.5,0.6005,0.5667,0.8,0.8514
Milos Raonic,0.8132,0.5771,389.9,0.3083,112.9,0.5398,0.5366,0.6212,0.6735
Andy Murray,0.752,0.5224,342.8,0.4153,163.9,0.5832,0.6429,0.7576,0.8353
David Ferrer,0.7014,0.5374,325.5,0.4286,167.5,0.5734,0.5652,0.6893,0.7746
Kevin Anderson,0.7954,0.5361,367.3,0.3391,124,0.5235,0.5849,0.612,0.6571
Kei Nishikori,0.7479,0.5472,342,0.3919,150.3,0.5611,0.5,0.7033,0.7714
Benoit Paire,0.7314,0.4863,316.9,0.3882,152.8,0.5061,0.75,0.5487,0.5952
Gilles Muller,0.7989,0.5058,361.6,0.3152,121.2,0.5165,0.6087,0.5578,0.5789
Stan Wawrinka,0.7636,0.5562,348.3,0.364,137.3,0.5412,0.7391,0.7186,0.7534
Jo Wilfried Tsonga,0.788,0.5407,358,0.3637,135.2,0.5397,0.4074,0.6103,0.6667
Rafael Nadal,0.7166,0.5544,341.5,0.4103,159.9,0.5736,0.5556,0.7039,0.7531
Samuel Groth,0.7855,0.5216,357.6,0.2901,101.1,0.4801,0.6061,0.4727,0.4634
Nick Kyrgios,0.7552,0.5268,354.7,0.3311,126.9,0.5188,0.5143,0.547,0.5581
Tomas Berdych,0.7737,0.5455,343.2,0.3913,155.7,0.5569,0.7059,0.6804,0.7215
Feliciano Lopez,0.7653,0.535,352.8,0.3434,122.4,0.5053,0.6429,0.5443,0.5517
Richard Gasquet,0.7602,0.5529,349.8,0.3708,142.5,0.5485,0.6,0.6516,0.7167
Sam Querrey,0.7818,0.5399,352.1,0.332,118.3,0.5036,0.4194,0.4722,0.4545
Marin Cilic,0.7814,0.5197,349.9,0.3635,134.3,0.5213,0.7429,0.604,0.6481
Vasek Pospisil,0.7738,0.5315,351.2,0.315,120.7,0.5066,0.32,0.5,0.5208
Bernard Tomic,0.7276,0.503,350.4,0.3455,133.4,0.521,0.5,0.5778,0.597
Jack Sock,0.7529,0.5287,333.3,0.3523,141.9,0.5323,0.5517,0.6241,0.6604
Borna Coric,0.693,0.5044,313,0.3554,132.3,0.4739,0.7333,0.4648,0.4815
Gael Monfils,0.7357,0.5169,349.6,0.3783,143.4,0.5349,0.6552,0.635,0.6538
Rajeev Ram,0.7546,0.5172,348.2,0.3146,118,0.4863,0.7273,,
Gilles Simon,0.6874,0.5288,314.2,0.4095,164.5,0.5327,0.4333,0.5944,0.6418
Leonardo Mayer,0.7452,0.5365,347.9,0.3468,124.1,0.5147,0.6061,0.5588,0.549
David Goffin,0.7407,0.509,322.2,0.4011,150.5,0.5347,0.65,0.5988,0.6032
Marius Copil,0.7548,0.5369,346.1,0.3302,129.9,0.5043,0.4545,,
Mardy Fish,0.7639,0.4471,316.3,0.4065,154.2,,,,
Simone Bolelli,0.721,0.5453,345.5,0.3461,131.4,0.5031,0.4643,0.5111,0.5185
Grigor Dimitrov,0.7521,0.5168,342.1,0.3714,136.4,0.5231,0.6,0.5793,0.6
Steve Johnson,0.7593,0.5366,344.7,0.3445,128,0.5112,0.4286,0.521,0.5625
Fernando Verdasco,0.7379,0.5217,344.6,0.3518,128.5,0.5112,0.4483,0.4783,0.48
Juan Monaco,0.6366,0.5216,324.1,0.4005,154.6,0.5183,0.2143,0.5204,0.525
Roberto Bautista Agut,0.7158,0.5593,342.8,0.3797,146.6,0.5375,0.4783,0.5819,0.5915
Philipp Kohlschreiber,0.7162,0.5656,338.3,0.38,148.6,0.5398,0.4444,0.5915,0.5818
Pierre Hugues Herbert,0.7697,0.5183,342.8,0.3286,123.2,0.5029,,,
Diego Sebastian Schwartzman,0.6421,0.5019,292.2,0.3942,153.4,0.4663,0.4167,0.3882,0.3333
Marcos Baghdatis,0.7462,0.511,325.8,0.3794,144.6,0.5174,0.5714,0.5641,0.5778
Aljaz Bedene,0.7556,0.4773,318.6,0.3594,137.2,0.4835,0.6429,0.4535,0.5
Dominic Thiem,0.7466,0.5476,336.2,0.3622,130.4,0.5134,0.4348,0.5192,0.5625
Matthias Bachinger,0.7052,0.5317,340.7,0.359,118.1,,,,
Viktor Troicki,0.7422,0.5003,339.3,0.3655,137.6,0.5124,0.4516,0.52,0.5556
Hyeon Chung,0.7184,0.5442,324.1,0.3937,157.5,0.5607,0.1818,0.5636,0.5455
Kenny De Schepper,0.6889,0.4942,338.2,0.3099,104.5,0.4477,,,
Mischa Zverev,0.7002,0.5075,337.3,0.3464,127.4,0.4907,0.5,,
Jerzy Janowicz,0.7249,0.4765,337.2,0.3448,126.9,0.5004,0.4138,0.4923,0.5
Guillermo Garcia Lopez,0.7331,0.4966,317.5,0.39,152.7,0.5222,0.4444,0.5556,0.5536
