name,1st_srv_won.1,2nd_srv_won.1,srv_rtg.1,ret_pct_won.1,rtn_rtg.1,gms_pct_won.1,tie_brk_won.1,set_pct_won.1,mtch_pct_won.1
John Isner,0.82,0.5512,394.4,0.3024,108.6,0.5247,0.5156,0.5948,0.6111
Andy Murray,0.7635,0.5337,344.4,0.4257,169.4,0.5988,0.7188,0.7869,0.8966
Novak Djokovic,0.7354,0.5598,350.5,0.4389,169.9,0.6061,0.7143,0.8128,0.8784
Richard Gasquet,0.7068,0.5355,327.8,0.4039,157.3,0.5408,0.8125,0.6462,0.6604
Milos Raonic,0.8,0.5531,371.2,0.3611,131,0.549,0.6585,0.6961,0.7536
Roger Federer,0.7986,0.5635,361.1,0.385,144.6,0.5716,0.6429,0.7342,0.75
Rafael Nadal,0.6854,0.5277,338.3,0.4323,172.2,0.5842,0.4,0.7077,0.7358
Kyle Edmund,0.7218,0.5119,326.7,0.3624,138.1,0.4976,0.7778,0.5327,0.5122
Kei Nishikori,0.7184,0.543,336.1,0.3984,156,0.5548,0.6296,0.6878,0.7342
Gael Monfils,0.7474,0.5165,344.5,0.397,158.3,0.5664,0.5909,0.7124,0.7213
Juan Martin Del Potro,0.7628,0.5282,343.2,0.3701,140.4,0.5463,0.5652,0.6637,0.7273
Ilya Ivashka,0.675,0.472,309.6,0.4628,185.4,0.57,,,
Nick Kyrgios,0.7593,0.5516,369,0.3568,134.3,0.5485,0.6207,0.7007,0.7222
Stan Wawrinka,0.7485,0.5638,349.1,0.3794,142.1,0.5524,0.6053,0.6744,0.7188
Reilly Opelka,0.7857,0.6,379.9,0.2758,91,0.4981,0.4615,,
Dominic Thiem,0.7389,0.5409,336.4,0.3797,143.5,0.5334,0.5833,0.6333,0.7073
Jo Wilfried Tsonga,0.7873,0.519,353.4,0.3539,127.9,0.5388,0.5484,0.6429,0.6852
Roberto Bautista Agut,0.6961,0.5333,333.3,0.3993,152.4,0.5406,0.5625,0.6203,0.6761
Viktor Troicki,0.7249,0.4873,329,0.3713,137.2,0.4972,0.6923,0.5091,0.5397
Marin Cilic,0.7925,0.5382,347.7,0.3698,140.4,0.5446,0.5,0.634,0.6712
David Goffin,0.7192,0.501,323.4,0.4117,160.3,0.5417,0.4231,0.61,0.6622
Ze Zhang,0.6226,0.5094,313.8,0.4159,174,,,,
Tomas Berdych,0.7808,0.5078,340.7,0.3666,138,0.5312,0.5484,0.6013,0.661
Alexandr Dolgopolov,0.7297,0.5031,324.5,0.3657,135.7,0.4932,0.6667,0.5119,0.5
Alexander Zverev,0.7155,0.5062,328.8,0.3801,146.4,0.5219,0.5758,0.5824,0.6471
Jack Sock,0.7484,0.5382,337.1,0.3631,134.1,0.5171,0.5484,0.5823,0.6379
David Ferrer,0.6964,0.5286,325.5,0.4097,157.7,0.5415,0.4,0.585,0.6207
Ivo Karlovic,0.8191,0.5517,383,0.2665,95.1,0.4961,0.6176,0.5385,0.5714
Pablo Carreno Busta,0.7043,0.5162,320.8,0.3946,155,0.5237,0.5152,0.5802,0.6119
Mikhail Youzhny,0.6734,0.512,315.2,0.3844,142.3,0.5,0.6667,0.5341,0.4857
Lucas Pouille,0.7437,0.5078,326.5,0.3606,136.5,0.5016,0.6552,0.5414,0.6071
Philipp Kohlschreiber,0.7349,0.5197,333.4,0.3792,141,0.5249,0.4667,0.5547,0.6038
Grigor Dimitrov,0.7223,0.5237,332.5,0.3758,137.4,0.5155,0.6471,0.5756,0.6
Pablo Cuevas,0.747,0.5454,346.5,0.3622,135.1,0.5199,0.4872,0.5714,0.5965
Gilles Muller,0.8136,0.5263,362.4,0.3212,116.5,0.5144,0.5435,0.5556,0.5932
Karen Khachanov,0.7415,0.5253,338.4,0.3701,142.9,0.5226,0.3846,0.569,0.5909
Carlos Berlocq,0.6023,0.451,297.9,0.3984,169.3,0.4813,,,
Andrey Kuznetsov,0.7459,0.5214,325.8,0.3867,146.5,0.5231,0.5625,0.5827,0.58
Feliciano Lopez,0.7681,0.5127,344.7,0.3515,127.3,0.5096,0.5789,0.551,0.5636
Gilles Simon,0.6705,0.5119,312.1,0.4032,155.6,0.5132,0.5417,0.5437,0.5593
Bernard Tomic,0.7365,0.49,344.4,0.3421,130.6,0.5069,0.4667,0.5634,0.5556
Diego Sebastian Schwartzman,0.6605,0.497,305.1,0.4072,161.2,0.5038,0.4615,0.506,0.5
Sam Querrey,0.7994,0.5158,351.9,0.3321,123,0.51,0.5405,0.553,0.549
Juan Monaco,0.6328,0.5285,318.8,0.4052,151.3,0.5014,0.4,0.5,0.5484
Di Wu,0.613,0.4888,299.5,0.4157,160.9,0.4862,,,
Nicolas Mahut,0.7437,0.5067,329.2,0.3541,141.5,0.5075,0.45,0.5229,0.5349
Fabio Fognini,0.6798,0.4986,302.9,0.3983,158.9,0.5127,0.4706,0.5308,0.5306
Marcos Baghdatis,0.743,0.5305,320.9,0.3701,143.1,0.5047,0.5455,0.5289,0.5306
Federico Delbonis,0.7155,0.5296,323,0.3755,145.1,0.509,0.5667,0.5357,0.5294
Fernando Verdasco,0.7218,0.4981,332.2,0.3772,141,0.517,0.5556,0.5368,0.5273
Jan Lennard Struff,0.7592,0.4967,317.4,0.3739,136.4,0.4982,0.6,0.4578,0.4194
Albert Ramos,0.6828,0.5134,322.7,0.3823,145.7,0.5058,0.3333,0.491,0.5231
Dustin Brown,0.7193,0.4993,339.3,0.3581,141.4,0.5082,0.4,0.5224,0.52
Andrej Martin,0.6455,0.4961,316.1,0.4187,159.1,0.5148,,,
Steve Johnson,0.7497,0.5316,345.1,0.3356,121.4,0.5042,0.5714,0.5214,0.5172
