name,1st_srv_won.1,2nd_srv_won.1,srv_rtg.1,rtn_pct_won.1,rtn_rtg.1,gms_pct_won.1,tie_brk_won.1,set_pct_won.1,mtch_pct_won.1
Ivo Karlovic,0.8229,0.5638,387.4,0.2595,94.3,0.4966,0.4048,0.4505,0.4286
Roger Federer,0.7978,0.5946,370.5,0.3976,150.9,0.5919,0.7,0.8052,0.9123
Frederik Nielsen,0.7312,0.5721,348.6,0.4098,178.9,,,,
Rafael Nadal,0.7403,0.6154,366.8,0.4271,164.5,0.6145,0.6522,0.804,0.859
Darian King,0.6602,0.5163,320.4,0.4472,176,0.5621,,,
Novak Djokovic,0.7253,0.5329,341.3,0.4179,165.2,0.5777,0.625,0.7353,0.8
Cedrik Marcel Stebe,0.6269,0.4572,288.6,0.4329,171.1,0.5137,,,
Peter Gojowczyk,0.7757,0.4785,319.6,0.3667,145.2,0.507,0.7273,0.5593,0.6087
Lloyd George Muirhead Harris,0.781,0.5645,339.8,0.4173,169.7,,,,
Grigor Dimitrov,0.7754,0.5207,354.6,0.3821,143.9,0.5558,0.6296,0.676,0.7206
Diego Sebastian Schwartzman,0.6576,0.514,306.8,0.4316,169,0.5337,0.381,0.578,0.5821
Jo Wilfried Tsonga,0.804,0.5274,357.1,0.3811,143.8,0.5591,0.5484,0.6643,0.717
Andy Murray,0.7216,0.5286,322.8,0.4242,168.4,0.5612,0.7059,0.7071,0.7143
John Isner,0.796,0.5617,391.9,0.2875,106.7,0.516,0.6176,0.5975,0.6333
Alexander Zverev,0.7456,0.5338,347.4,0.369,147.2,0.5425,0.5758,0.6566,0.7143
Damir Dzumhur,0.6641,0.507,312.7,0.4068,164.4,0.5185,0.6111,0.575,0.6
David Goffin,0.7364,0.5249,335,0.3987,153.4,0.5437,0.5526,0.6402,0.7108
Mikael Ymer,0.6111,0.4636,295.2,0.4197,159,,,,
Juan Martin Del Potro,0.7573,0.5081,344,0.3654,137.4,0.5268,0.72,0.6377,0.7037
Roberto Bautista Agut,0.7038,0.5515,329.9,0.4113,158.7,0.5551,0.5429,0.6556,0.6957
Milos Raonic,0.793,0.5592,369.3,0.3511,129.4,0.5451,0.5926,0.6699,0.7073
Kei Nishikori,0.7144,0.5212,331.1,0.4031,157.2,0.5465,0.4737,0.6364,0.6977
Mikhail Kukushkin,0.683,0.5045,327.5,0.3935,157,0.5195,0.3846,0.5195,0.4815
Stan Wawrinka,0.7252,0.5646,343.6,0.3663,140.5,0.5337,0.7,0.6408,0.7027
Marsel Ilhan,0.7068,0.4703,312.6,0.3818,156.2,,,,
Hyeon Chung,0.7178,0.479,318.1,0.3977,153.6,0.52,,0.5385,0.55
Daniel Evans,0.7163,0.4726,313.1,0.3849,153.4,0.5062,0.5,0.5072,0.52
Marin Cilic,0.7983,0.5317,348.7,0.3875,145.4,0.552,0.5333,0.6477,0.6667
Nikoloz Basilashvili,0.6545,0.4929,310.9,0.387,145.7,0.4922,0.7,0.5227,0.4808
Tomas Berdych,0.7851,0.5315,350.5,0.3568,138.5,0.5365,0.5667,0.6194,0.6604
Yoshihito Nishioka,0.6437,0.5201,312.9,0.3887,152.6,0.4938,,,
Nick Kyrgios,0.7933,0.5447,364.4,0.3497,129.4,0.5406,0.68,0.6471,0.6458
Andrey Rublev,0.6959,0.4896,313.3,0.3847,151.9,0.4995,0.5,0.5155,0.5294
Richard Gasquet,0.7192,0.529,334.8,0.392,151.9,0.5458,0.2941,0.5854,0.617
Jack Sock,0.7269,0.5292,330.9,0.3661,133.7,0.5074,0.6875,0.586,0.6441
Yuki Bhambri,0.6964,0.5217,332.3,0.3951,151.6,0.5399,,,
Gilles Muller,0.8004,0.5125,368.5,0.3253,120.2,0.5192,0.6552,0.5969,0.64
Pablo Carreno Busta,0.6771,0.5184,328.8,0.3878,151.6,0.519,0.6923,0.5828,0.5806
Dominic Thiem,0.7477,0.5255,339.6,0.3842,146.4,0.5416,0.5,0.6373,0.6351
Adrian Mannarino,0.6871,0.5253,319.1,0.3907,151.6,0.5175,0.4,0.5132,0.55
Sam Querrey,0.8021,0.5064,349,0.363,140.7,0.5359,0.5,0.5871,0.6316
Gilles Simon,0.6787,0.515,306.8,0.3858,150.1,0.485,0.3333,0.4299,0.3902
Yuichi Sugita,0.6795,0.5067,318.3,0.3877,149.6,0.5052,0.6471,0.5532,0.5789
Philipp Kohlschreiber,0.7591,0.5178,339.1,0.3744,144.7,0.5289,0.5185,0.5873,0.6275
Fernando Verdasco,0.6991,0.5037,328.2,0.39,149.5,0.5138,0.6667,0.5571,0.537
Lucas Pouille,0.7519,0.5292,336.3,0.368,143.6,0.5241,0.4706,0.5817,0.6207
Filip Krajinovic,0.7323,0.5266,342.3,0.353,149.2,,,,
Gael Monfils,0.7227,0.504,334,0.3877,148.9,0.5309,0.5,0.5938,0.5882
Fabio Fognini,0.6901,0.5017,311,0.3891,145.7,0.5044,0.6,0.5677,0.6102
Dudi Sela,0.6938,0.5177,318.6,0.3739,148.6,0.5057,,0.4868,0.4483
Kevin Anderson,0.7904,0.5426,371.4,0.349,126.2,0.5374,0.5278,0.6,0.6038
Vincent Millot,0.6644,0.4467,310.3,0.3719,148.1,,,,
Benoit Paire,0.7556,0.4577,315.2,0.3806,147,0.4983,0.6667,0.52,0.5
Marton Fucsovics,0.7525,0.5141,330.3,0.3838,147.7,0.5298,,,
Tommy Robredo,0.6351,0.4794,308.4,0.3596,147,0.4562,,,
Steve Johnson,0.7613,0.5102,340.1,0.338,129.7,0.5099,0.5,0.5489,0.5769
Steve Darcis,0.6704,0.5021,312.9,0.3652,146.2,0.4757,0.4667,0.486,0.5
David Ferrer,0.6979,0.5059,315.9,0.3942,145.6,0.5097,0.3571,0.4917,0.5333
