name,1st_srv_won.1,2nd_srv_won.1,srv_rtg.1,rtn_pct_won.1,rtn_rtg.1,gms_pct_won.1,tie_brk_won.1,set_pct_won.1,mtch_pct_won.1
Rafael Nadal,0.7638,0.5959,363.7,0.4249,170.1,0.6316,0.6667,0.8393,0.8906
Egor Gerasimov,0.7354,0.533,343.4,0.3489,117.1,0.4939,0.8333,,
Novak Djokovic,0.7605,0.5708,355.6,0.4194,169.6,0.6055,0.75,0.8034,0.8382
Roger Federer,0.7815,0.5936,372.2,0.3918,149.2,0.5858,0.76,0.7758,0.8361
John Isner,0.8114,0.5733,401.3,0.2955,103,0.5198,0.5577,0.6121,0.6304
Daniil Medvedev,0.7558,0.5461,343.1,0.4009,157.1,0.5608,0.6857,0.7024,0.7375
Dominic Thiem,0.7308,0.5522,343.4,0.374,145.5,0.5366,0.5517,0.6424,0.7273
Stefanos Tsitsipas,0.7625,0.5307,349.5,0.3565,132.4,0.5293,0.7111,0.639,0.6795
Milos Raonic,0.8388,0.5743,386,0.3362,118.3,0.5385,0.6786,0.6742,0.6471
Kei Nishikori,0.6952,0.5326,325,0.4066,156.8,0.5385,0.5294,0.621,0.6744
Andrey Rublev,0.7434,0.5091,332.1,0.3965,146.8,0.5338,0.5,0.5971,0.6667
Alex De Minaur,0.742,0.5503,336.9,0.3755,143.5,0.5347,0.6207,0.6286,0.6607
Juan Martin Del Potro,0.7648,0.5,352.7,0.3753,141.3,0.5643,,,
Gael Monfils,0.7138,0.5028,335.2,0.3896,149.9,0.5452,0.4828,0.6133,0.6607
Roberto Bautista Agut,0.7265,0.5614,343.1,0.3881,147.8,0.5479,0.36,0.6301,0.6563
Jo Wilfried Tsonga,0.801,0.5169,358.6,0.3457,133.3,0.5239,0.7,0.6016,0.6346
Alexander Zverev,0.7494,0.4424,331.8,0.3899,146.8,0.5287,0.5938,0.6011,0.6418
Mikael Ymer,0.6058,0.4974,295.1,0.4088,165.1,0.4956,,,
Stan Wawrinka,0.7644,0.5538,357,0.3527,130.6,0.5284,0.5946,0.6127,0.6346
Kevin Anderson,0.7909,0.5298,369.9,0.3513,129.3,0.5272,0.7,,
Filip Krajinovic,0.7013,0.5193,333.3,0.3919,150.1,0.5255,0.5263,0.5923,0.6327
Matteo Berrettini,0.7803,0.5425,359.8,0.3458,129,0.5252,0.5349,0.5977,0.6324
Ivo Karlovic,0.8342,0.54,391.9,0.2531,89.4,0.4873,0.5263,0.4789,0.4231
Nick Kyrgios,0.7962,0.5069,368.1,0.2991,122.2,0.5071,0.6333,0.5895,0.6216
Salvatore Caruso,0.6192,0.4873,305.8,0.4068,163.1,0.5037,,,
Diego Sebastian Schwartzman,0.6731,0.5108,315.4,0.4177,161.5,0.5282,0.52,0.569,0.6061
Tomas Berdych,0.7495,0.5058,331.1,0.3645,138.6,0.5207,0.5,0.55,0.5909
Felix Auger Aliassime,0.7427,0.4859,338.4,0.352,135.2,0.5033,0.6667,0.5448,0.5893
Guido Pella,0.688,0.5282,334.1,0.3789,142.5,0.5091,0.6667,0.5455,0.5902
Sam Querrey,0.8067,0.4771,355.6,0.3355,120.8,0.5135,0.5588,0.5644,0.5854
Denis Shapovalov,0.7651,0.5184,345.2,0.3533,131.2,0.5181,0.5484,0.5577,0.5846
Pablo Carreno Busta,0.7106,0.5272,347.6,0.3726,139.6,0.5281,0.4211,0.5809,0.5769
Christian Garin,0.7084,0.5072,327.3,0.3684,141,0.5018,0.5625,0.5259,0.5714
David Goffin,0.724,0.5013,319.6,0.3985,154.2,0.5284,0.48,0.557,0.5714
Fabio Fognini,0.6908,0.4859,310.8,0.3864,151.8,0.5004,0.5833,0.5362,0.566
David Ferrer,0.6743,0.5309,311.3,0.4164,159.3,0.5282,,,
Casper Ruud,0.7036,0.5206,329,0.3644,144.9,0.5279,0.3636,0.5275,0.5641
Leonardo Mayer,0.7492,0.5332,335.3,0.3451,124.1,0.4895,0.6538,0.5,0.4706
Albert Ramos,0.6861,0.5327,329,0.3765,149.2,0.5194,0.3636,0.5317,0.5556
Borna Coric,0.7396,0.5315,343.9,0.3544,131.3,0.5093,0.5172,0.5259,0.551
Jan Lennard Struff,0.7918,0.5175,346.7,0.3596,133.9,0.5212,0.4571,0.5427,0.5469
Radu Albot,0.6697,0.5284,319.8,0.373,141.6,0.4967,0.6429,0.5245,0.5439
Jordan Thompson,0.7155,0.506,339,0.3631,140.2,0.5208,0.3333,0.5238,0.5417
Reilly Opelka,0.8091,0.5423,377.5,0.2749,99.6,0.5054,0.5094,0.5227,0.54
Aljaz Bedene,0.7372,0.4973,328.2,0.3521,140,0.5031,0.5238,0.5313,0.5405
Marin Cilic,0.7713,0.479,335.6,0.3559,129,0.5045,0.64,0.5446,0.5366
Benoit Paire,0.7762,0.4562,319,0.3752,139.9,0.5012,0.5806,0.5244,0.5397
Nicolas Mahut,0.7231,0.5433,356.4,0.3392,127.8,0.5348,,,
Nikoloz Basilashvili,0.6935,0.5058,313.1,0.3769,145,0.4965,0.5217,0.5205,0.5385
Pablo Andujar,0.666,0.4729,301.3,0.3797,140.7,0.4685,0.6364,0.439,0.4375
Miomir Kecmanovic,0.7172,0.5508,336.2,0.3557,137.4,0.5098,0.3846,0.4949,0.5238
Grigor Dimitrov,0.7473,0.4976,335.1,0.374,142.5,0.5256,0.3,0.5167,0.5116
Juan Ignacio Londero,0.7081,0.5483,333.4,0.3664,135.1,0.5074,0.5,0.5044,0.5116
Alejandro Davidovich Fokina,0.6071,0.4573,294.8,0.3847,155.9,0.4483,,,
Pablo Cuevas,0.7307,0.5211,324.6,0.3607,142.3,0.5124,0.5556,0.5207,0.5106
Hubert Hurkacz,0.7321,0.5184,343.5,0.3485,129.4,0.5037,0.4583,0.4918,0.5102
Adrian Mannarino,0.7042,0.5206,324.5,0.3785,147.7,0.5093,0.4091,0.4806,0.5094
Daniel Evans,0.7025,0.5214,327.8,0.3747,138.5,0.4981,0.6,0.5,0.475
Jeremy Chardy,0.7445,0.4949,340.3,0.3444,131.4,0.5093,0.35,0.4897,0.5091
Karen Khachanov,0.729,0.5264,339.2,0.3602,132.6,0.5041,0.4,0.4969,0.5085
Taylor Harry Fritz,0.7619,0.5153,339.2,0.3303,121,0.4954,0.6,0.5035,0.5085
Gilles Simon,0.6935,0.5012,323.2,0.3924,145.5,0.5034,0.4,0.5,0.5
Roberto Carballes Baena,0.6694,0.4945,313.4,0.3933,155.2,0.5037,0.4286,0.4902,0.4872
Lucas Pouille,0.7287,0.5301,334.2,0.3395,127.3,0.5009,0.5185,0.5086,0.5
Marton Fucsovics,0.6996,0.4887,310,0.3906,142.4,0.4984,0.5909,0.5039,0.4583
Fernando Verdasco,0.719,0.4955,337.7,0.3673,136.5,0.5147,0.4211,0.5101,0.4906
Yoshihito Nishioka,0.6277,0.5401,315.8,0.3921,152.3,0.4878,0.5714,0.4951,0.4872
Philipp Kohlschreiber,0.7124,0.5537,337.5,0.3579,130,0.5034,0.3846,0.5,0.4884
Pierre Hugues Herbert,0.7199,0.5059,331.1,0.3424,127.7,0.4858,0.5294,0.4602,0.4783
Frances Tiafoe,0.7047,0.5128,327.7,0.351,133.4,0.4892,0.5833,0.496,0.4565
Nicolas Jarry,0.7222,0.5223,340.5,0.3281,127.7,0.4857,0.5185,0.4752,0.475
Attila Balazs,0.684,0.5551,343.8,0.3693,149.1,0.525,,,
Lorenzo Sonego,0.7438,0.5191,341.4,0.3386,119.9,0.4894,0.5,0.466,0.4651
Mikhail Kukushkin,0.6625,0.5314,325.2,0.3608,135.7,0.4915,0.4706,0.4696,0.4583
Corentin Moutet,0.6294,0.4592,288.9,0.384,149.6,0.4539,,,
Jiri Vesely,0.7325,0.505,346.8,0.3308,119,0.4924,0.3333,0.4561,0.45
Yasutaka Uchiyama,0.7593,0.5161,340,0.338,149.1,,,,
Feliciano Lopez,0.776,0.5227,352.4,0.3209,111.1,0.4937,0.3913,0.4545,0.4444
John Millman,0.6954,0.5442,329.6,0.3655,141.4,0.5063,0.4138,0.48,0.4286
Dusan Lajovic,0.6679,0.5046,324.2,0.3681,144.5,0.4923,0.375,0.4583,0.4375
Andy Murray,0.7525,0.5023,331.2,0.37,141.2,0.5154,0.4667,,
Jaume Munar,0.6955,0.4801,313.9,0.3842,140.1,0.4887,0.5,0.4388,0.4359
Ugo Humbert,0.7377,0.5138,334,0.3498,133.8,0.5031,0.35,0.4742,0.4167
Kyle Edmund,0.7174,0.5231,330.6,0.3437,133.3,0.4979,0.1538,0.4688,0.4359
Tennys Sandgren,0.736,0.4841,327.6,0.3453,128.1,0.4868,0.3913,0.4706,0.4333
